Confidence,Accuracy,Accuracy(0),Accuracy(1),Examples,Proportion empty-label prediction sets,Proportion multi-label prediction sets,Proportion single-label prediction sets,CP Accuracy(conf=0.8),Observed Fuzziness,Unobserved Confidence,Unobserved Credibility,Proportion multi-label prediction sets(conf=0.8),Proportion single-label prediction sets(conf=0.8),A1_size,A2_size,SamplingStrategy,Runtime(sec),Seed
0.0,0.0,0.0,0.0,549,1.0,0.0,0.0,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.05,0.0455,0.0547,0.0,549,0.949,0.0,0.051,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.1,0.0893,0.0963,0.0543,549,0.9,0.0,0.1,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.15,0.109,0.116,0.0761,549,0.874,0.0,0.126,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.2,0.155,0.16,0.13,549,0.821,0.0,0.179,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.25,0.199,0.206,0.163,549,0.77,0.0,0.23,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.3,0.257,0.263,0.228,549,0.701,0.0,0.299,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.35,0.302,0.304,0.293,549,0.632,0.0,0.368,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.4,0.361,0.357,0.38,549,0.55,0.0,0.45,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.45,0.404,0.403,0.413,549,0.483,0.0,0.517,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.5,0.446,0.444,0.457,549,0.412,0.0,0.588,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.55,0.495,0.486,0.543,549,0.344,0.0,0.656,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.6,0.541,0.532,0.587,549,0.264,0.0,0.736,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.65,0.585,0.571,0.652,549,0.179,0.0,0.821,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.7,0.636,0.624,0.696,549,0.0783,0.0,0.922,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.75,0.692,0.683,0.739,549,0.0,0.0601,0.94,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.8,0.74,0.731,0.783,549,0.0,0.188,0.812,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.85,0.801,0.794,0.837,549,0.0,0.342,0.658,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.9,0.852,0.845,0.891,549,0.0,0.545,0.455,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
0.95,0.94,0.937,0.957,549,0.0,0.787,0.213,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
1.0,1.0,1.0,1.0,549,0.0,1.0,0.0,0.74,0.241,0.88,0.578,0.188,0.812,5729,-1,A1A2mix,88,123456789
